condition,well,field,n_droplets,mean_area_um2,median_area_um2,total_area_um2,mean_diameter_um,median_diameter_um,mean_circularity
CIDEC_KD,R07C10,5,885,966.2775256406779,330.426096,855155.6101919999,26.34906382623819,20.51125476511998,0.6696523167763019
CIDEC_KD,R07C10,6,1123,828.5420377845057,336.14776,930452.7084319999,26.239002135551473,20.68807919808276,0.6710826952015913
CIDEC_KD,R07C10,7,1247,787.6487628163592,349.021504,982198.0072319999,25.87842227989913,21.08051187366525,0.6633238019055225
CIDEC_KD,R07C10,8,1237,765.9675317186742,360.464832,947501.8367359999,26.02243609447595,21.423306901333344,0.6623559473188921
CIDEC_KD,R07C10,9,1015,964.7585162876848,369.047328,979229.894032,27.325266442729575,21.676845985715914,0.6600957320689179
NTC,R02C03,1,1016,1059.8847561889763,327.56526399999996,1076842.9122879999,27.100909837808075,20.422219745155168,0.6814172590132865
NTC,R02C03,2,599,1117.4128007212018,346.160672,669330.2676319999,27.064177003121493,20.993938563844996,0.6558054392042997
NTC,R02C03,3,1074,955.1423039106145,366.186496,1025822.8343999999,27.002835554737473,21.592663741539727,0.6542399563986411
NTC,R02C03,4,849,890.2006118068316,369.047328,755780.319424,27.123089890920777,21.676845985715914,0.6529820076672614
NTC,R02C03,5,1066,981.8893379512194,319.697976,1046694.034256,26.726884666100474,20.175519723487696,0.6835843103336929
NTC,R02C03,6,1175,807.3706159114893,350.45192,948660.473696,25.924393431513195,21.12366547435278,0.6730441090798347
NTC,R02C03,7,1103,854.7027389301904,324.704432,942737.12104,25.64453668969283,20.332892641559134,0.6764395277764812
NTC,R02C03,8,1024,1026.8277575156249,328.280472,1051471.6236959998,26.70879991359319,20.44453919088648,0.6726378214273108
NTC,R02C03,9,971,934.9013360741503,340.439008,907789.197328,26.10179444926056,20.819711995030346,0.6753595452758997
NTC,R03C03,1,1011,882.8864286923838,298.95694399999996,892598.179408,25.23197661997553,19.510094906841832,0.6929612508273827
NTC,R03C03,2,1068,962.7355957003746,343.29983999999996,1028201.616208,26.648030861908968,20.907006767810028,0.6696010100610468
NTC,R03C03,3,925,1140.364748696216,336.14776,1054837.392544,26.919956414787105,20.68807919808276,0.6767201965719943
NTC,R03C03,4,828,1004.043196,379.775448,831347.7662879999,27.301269072142638,21.98964960563694,0.6568603337824314
NTC,R03C03,5,570,976.7256873263157,346.160672,556733.6417759999,27.252721230047246,20.993938563844996,0.6640869939749103
NTC,R03C03,6,1014,720.9973759999999,327.56526399999996,731091.339264,24.823006198087004,20.42226842459998,0.6838562009982007
NTC,R03C03,7,906,1127.9824820132449,339.008592,1021952.1287039999,27.186401691102663,20.77588082773296,0.6747874037506771
NTC,R03C03,8,1046,829.2925648183556,364.75608,867440.0227999999,26.306295232402807,21.550449304796004,0.6586520218687806
NTC,R03C03,9,846,994.1915347706855,379.775448,841086.038416,27.749956280954834,21.98964960563694,0.6512289993868903
NTC,R04C03,1,1130,784.8844494584071,318.98276799999996,886919.4278879999,25.45609348449905,20.1529519998109,0.6807175418980737
NTC,R04C03,2,1118,863.9316013023256,331.85651199999995,965875.530256,25.58837553431661,20.555603475847626,0.6849379688691528
NTC,R04C03,3,1065,882.7426198835681,323.27401599999996,940120.890176,26.108140953655294,20.288057101569578,0.6740748512219824
NTC,R04C03,4,887,1044.0166131950396,381.921072,926042.735904,28.254477511544128,22.051689546110637,0.6523418077205594
NTC,R04C03,5,1081,914.8377038297872,367.61691199999996,988939.5578399999,26.771328221009206,21.634795808415348,0.6551685510405605
NTC,R04C03,6,1058,857.246416,310.400272,906966.7081279999,25.646077068637698,19.879987449869045,0.6814586929363226
NTC,R04C03,7,1115,884.8656006744394,310.400272,986625.1447519999,26.098694766459516,19.879987449869045,0.6866691274782211
NTC,R04C03,8,1047,701.7194640229226,336.14776,734700.278832,24.87340162130165,20.68807919808276,0.6661175573725638
NTC,R04C03,9,1221,811.5133052383292,364.75608,990857.7456959999,26.46322167137242,21.550449304796004,0.6595672606100164
NTC,R05C03,1,925,1024.8891980108108,321.8436,948022.50816,26.349396845190178,20.243122257693493,0.68062886984292
NTC,R05C03,2,1077,913.2097155951717,311.83068799999995,983526.863696,26.059109064778845,19.92574122143446,0.6876624050462006
NTC,R05C03,3,1237,760.0319413160872,308.969856,940159.5114079999,24.94889095366278,19.834128132850427,0.6840977396147461
